Tag,Tipo,Address,Modbus
TEMPO_CORTE_IHM,%MW,40030,28015
COMPR_CORTE_IHM,%MW,40032,28016
FATOR_AJUSTE_CAL1_IHM,%MW,40000,28000
FATOR_AJUSTE_CAL3_IHM,%MW,40004,28002
FATOR_AJUSTE_PUXADOR_IHM,%MW,40006,28003
FATOR_AJUSTE_PREARRASTE_IHM,%MW,40008,28004
AJUSTE_RAMPA_ACEL_CAL_PUX_IHM,%MW,40046,28023
AJUSTE_RAMPA_DESACEL_CAL_PUX_IHM,%MW,40048,28024
FATOR_AJUSTE_CAL2_IHM,%MW,40002,28001
RAMPA_ACELERA_EXT_IHM,%MW,40016,28008
RAMPA_DESACELERA_EXT_IHM,%MW,40018,28009
GANHO_D_EXT_IHM,%MW,40014,28007
GANHO_I_EXT_IHM,%MW,40012,28006
GANHO_P_EXT_IHM,%MW,40010,28005
RAMPA_ACELERA_PREARRASTE_IHM,%MW,40036,28018
RAMPA_DESACELERA_PREARRASTE_IHM,%MW,40038,28019
AJUSTE_FINO_COMPR_PREARRASTE_IHM,%MW,40034,28017
RAMPA_ACELERA_BOMBA_IHM,%MW,40040,28020
RAMPA_DESACELERA_BOMBA_IHM,%MW,40042,28021
ALM_PRESS_H_COEX_IHM,%MW,40054,28027
ALM_PRESS_HH_COEX_IHM,%MW,40056,28028
RAMPA_ACELERA_CO_EXT1_IHM,%MW,40042,28021
RAMPA_DESACELERA_CO_EXT1_IHM,%MW,40044,28022
ALM_PRESS_H_BOMBA_IHM,%MW,40050,28025
ALM_PRESS_HH_BOMBA_IHM,%MW,40052,28026
SP_PROD_PREARRASTE_IHM,%MW,40058,28029
ACUM_PROD_PREARRASTE_IHM,%MW,40060,28030
SP_CONTAMETRO_PREARRASTE_IHM,%MW,40062,28031
ACUM_CONTAMETRO_PREARRASTE_IHM,%MW,40064,28032
