Tag,Tipo,Address,Modbus
ALARMES_WORD1_IHM,%MW,10,8005
ALARMES_WORD2_IHM,%MW,12,8006
ALARMES_WORD3_IHM,%MW,14,8007
ALARMES_WORD4_IHM,%MW,16,8008
ALARMES_WORD5_IHM,%MW,18,8009
ALARMES_WORD6_IHM,%MW,20,8010
ALARMES_WORD7_IHM,%MW,22,8011
ALARMES_WORD8_IHM,%MW,24,8012
ALARMES_WORD9_IHM,%MW,26,8013
ALARMES_WORD10_IHM,%MW,28,8014
TRATE2_EXTR,%MW,54,8027
OUT_EXTR,%MW,56,8028
MAX_EXTR,%MW,58,8029
MIN_EXTR,%MW,60,8030
TS_EXTR,%MW,50,8025
MULTISTATE_EXTRUSORA_IHM,%MW,480,8240
MULTISTATE_BOMBA_IHM,%MW,482,8241
UP_EXTR,%MB,52,40416
DOWN_EXTR,%MB,52,40417
ENRATE_EXTR,%MB,52,40418
RESET_EP_EXTR,%MB,52,40419
RESET_ALARME_IHM,%MB,1000,48000
HAB_BLOQ_TEMP_IHM,%MB,1000,48001
LIGA_DESL_BOMBA_IHM,%MB,1000,48002
LIGA_DESL_EXTR_IHM,%MB,1000,48003
LIGA_DESL_FACA_IHM,%MB,1000,48004
PEAD_IHM,%MB,1000,48006
ACRILICO_IHM,%MB,1000,48007
ABS_IHM,%MB,1001,48008
OUTROS_IHM,%MB,1001,48009
IND_DESV_TEMP_IHM,%MB,1005,48045
ESPESSURA_IHM,%MW,426,8213
MULTISTATE_CALANDRA1_IHM,%MW,488,8244
MULTISTATE_CALANDRA2_IHM,%MW,490,8245
MULTISTATE_CALANDRA3_IHM,%MW,492,8246
MULTISTATE_PUXADOR_IHM,%MW,494,8247
MULTISTATE_PREARRASTE_IHM,%MW,496,8248
AL_CAN_BOMBA,%MB,1010,48083
AL_CAN_PREARRASTE,%MB,1011,48088
AL_CAN_BOBINADOR1,%MB,1011,48089
AL_CAN_BOBINADOR2,%MB,1011,48090
MULTISTATE_COEXTRUSORA_IHM,%MW,498,8249
LARGURA_IHM,%MW,528,8264
PROD_ESTIMADA_IHM,%MW,532,8266
PROD_CUM_IHM,%MW,534,8267
OUTROS_VAL_IHM,%MW,536,8268
FBK_PRESSAO_BOMBA_IHM,%MW,924,8462
ESCRITA_SET_POINT_PRESSAO_IHM,%MW,946,8473
PREARRASTE_MPM_ATUAL_IHM,%MW,956,8478
CORRENTE_PREARRASTE_IHM,%MW,958,8479
SET_POINT_VEL_BOMBA_IHM,%MW,1100,8550
AL_CAN_RUW_REM,%MB,1012,48096
AL_CAN_RUW_PAN,%MB,1011,48095
SET_POINT_VEL_CAL2_MARCHA_IHM,%MW,1104,8552
AL_CAN_EXTRUSORA,%MB,1010,48080
VEL_FINAL_EXTRUSORA_IHM,%MW,1124,8562
VEL_FINAL_BOMBA_IHM,%MW,1126,8563
AL_CAN_COEXTRUSORA,%MB,1010,48081
VEL_CAL1_MPM_IHM,%MW,1130,8565
VEL_CAL2_MPM_IHM,%MW,1132,8566
VEL_CAL3_MPM_IHM,%MW,1134,8567
AL_CAN_CALANDRA1,%MB,1010,48084
VEL_PUXADOR_MPM_IHM,%MW,1136,8568
CORRENTE_EXTRUSORA_IHM,%MW,1142,8571
CORRENTE_CAL1_IHM,%MW,1144,8572
AL_CAN_CALANDRA3,%MB,1010,48086
CORRENTE_BOMBA_IHM,%MW,1148,8574
CORRENTE_CAL2_IHM,%MW,1150,8575
CORRENTE_CAL3_IHM,%MW,1152,8576
CORRENTE_PUXADOR_IHM,%MW,1154,8577
AL_CAN_PUXADOR,%MB,1010,48087
EXT_MAN0_AUT1_IHM,%MB,1005,48047
AJUSTE_FINO_PREARRASTE_IHM,%MW,1114,8557
AJUSTE_FINO_PUXADOR_IHM,%MW,1112,8556
AJUSTE_FINO_CAL3_IHM,%MW,1110,8555
AJUSTE_FINO_CAL2_IHM,%MW,1116,8558
AJUSTE_FINO_CAL1_IHM,%MW,1106,8553
LIGA_DESL_MARCHA_IHM,%MB,1005,48046
PP_IHM,%MB,1001,48012
PS_IHM,%MB,1000,48005
PET_IHM,%MB,1001,48011
PEBD_IHM,%MB,1001,48010
PVC_IHM,%MB,1001,48013
RESET_CUM_PROD_IHM,%MB,1001,48014
COEX_MAN0_AUT1_IHM,%MB,1006,48048
LIGA_DESL_CO_EXT1_IHM,%MB,1006,48049
VELOCIDADE_CO_EXT1_IHM,%MW,1138,8569
CORRENTE_CO_EXT1_IHM,%MW,1156,8578
FBK_PRESSAO_COEXTR_IHM,%MW,960,8480
ALERTA_TROCA_TELA_COEX_IHM,%MB,1006,48051
AL_CAN_CALANDRA_2,%MB,1010,48085
ALERTA_TROCA_TELA_EXT_IHM,%MB,1006,48050
ALARMES_WORD11_IHM,%MW,30,8015
ALARMES_WORD12_IHM,%MW,32,8016
VEL_BOBINADOR1_RPM_ATUAL_IHM,%MW,964,8482
CORRENTE_BOBINADOR1_IHM,%MW,962,8481
VEL_BOBINADOR2_RPM_ATUAL_IHM,%MW,968,8484
CORRENTE_BOBINADOR2_IHM,%MW,966,8483
TORQUE_BOBINADOR1_IHM,%MW,970,8485
TORQUE_BOBINADOR2_IHM,%MW,972,8486
SP_TORQUE_BOBINADOR2_IHM,%MW,976,8488
SP_TORQUE_BOBINADOR1_IHM,%MW,974,8487
RESET_PROD_PREARRASTE_IHM,%MB,1006,48052
RESET_CONTAMETRO_PREARRASTE_IHM,%MB,1006,48053
