key,ObjecTag,Identifiers,Tipo,Delta Adress,Modbus,At,comentarios,Classe
alarmes,alarmesWord1,ALARMES_WORD1_IHM,D,10,8005,%MW,,global
alarmes,alarmesWord2,ALARMES_WORD2_IHM,D,12,8006,%MW,,global
alarmes,alarmesWord3,ALARMES_WORD3_IHM,D,14,8007,%MW,,global
alarmes,alarmesWord4,ALARMES_WORD4_IHM,D,16,8008,%MW,,global
alarmes,alarmesWord5,ALARMES_WORD5_IHM,D,18,8009,%MW,,global
alarmes,alarmesWord6,ALARMES_WORD6_IHM,D,20,8010,%MW,,global
alarmes,alarmesWord7,ALARMES_WORD7_IHM,D,22,8011,%MW,,global
alarmes,alarmesWord8,ALARMES_WORD8_IHM,D,24,8012,%MW,,global
alarmes,alarmesWord9,ALARMES_WORD9_IHM,D,26,8013,%MW,,global
alarmes,alarmesWord10,ALARMES_WORD10_IHM,D,28,8014,%MW,,global
controle_extrusora,trate2Extr,TRATE2_EXTR,D,54,8027,%MW,,global
controle_extrusora,outExtr,OUT_EXTR,D,56,8028,%MW,,global
controle_extrusora,maxExtr,MAX_EXTR,D,58,8029,%MW,,global
controle_extrusora,minExtr,MIN_EXTR,D,60,8030,%MW,,global
controle_extrusora,tsExtr,TS_EXTR,D,50,8025,%MW,,global
multistate,multistateExtrusora,MULTISTATE_EXTRUSORA_IHM,D,480,8240,%MW,,global
multistate,multistateBomba,MULTISTATE_BOMBA_IHM,D,482,8241,%MW,,global
botoes_extrusora,upExtr,UP_EXTR,M,52,40416,%MB,,global
botoes_extrusora,downExtr,DOWN_EXTR,M,52,40417,%MB,,global
botoes_extrusora,enrateExtr,ENRATE_EXTR,M,52,40418,%MB,,global
botoes_extrusora,resetEpExtr,RESET_EP_EXTR,M,52,40419,%MB,,global
sistema,resetAlarme,RESET_ALARME_IHM,M,1000,48000,%MB,,global
sistema,habBloqTemp,HAB_BLOQ_TEMP_IHM,M,1000,48001,%MB,,global
comandos,ligaDeslBomba,LIGA_DESL_BOMBA_IHM,M,1000,48002,%MB,,global
comandos,ligaDeslExtr,LIGA_DESL_EXTR_IHM,M,1000,48003,%MB,,global
comandos,ligaDeslFaca,LIGA_DESL_FACA_IHM,M,1000,48004,%MB,,global
material,pead,PEAD_IHM,M,1000,48006,%MB,,global
material,acrilico,ACRILICO_IHM,M,1000,48007,%MB,,global
material,abs,ABS_IHM,M,1001,48008,%MB,,global
material,outros,OUTROS_IHM,M,1001,48009,%MB,,global
sistema,indDesvTemp,IND_DESV_TEMP_IHM,M,1005,48045,%MB,,global
medidas,espessura,ESPESSURA_IHM,D,426,8213,%MW,,global
multistate,multistateCalandra1,MULTISTATE_CALANDRA1_IHM,D,488,8244,%MW,,global
multistate,multistateCalandra2,MULTISTATE_CALANDRA2_IHM,D,490,8245,%MW,,global
multistate,multistateCalandra3,MULTISTATE_CALANDRA3_IHM,D,492,8246,%MW,,global
multistate,multistatePuxador,MULTISTATE_PUXADOR_IHM,D,494,8247,%MW,,global
multistate,multistatePrearraste,MULTISTATE_PREARRASTE_IHM,D,496,8248,%MW,,global
alarme_canal,alCanBomba,AL_CAN_BOMBA,M,1010,48083,%MB,,global
alarme_canal,alCanPrearraste,AL_CAN_PREARRASTE,M,1011,48088,%MB,,global
alarme_canal,alCanBobinador1,AL_CAN_BOBINADOR1,M,1011,48089,%MB,,global
alarme_canal,alCanBobinador2,AL_CAN_BOBINADOR2,M,1011,48090,%MB,,global
multistate,multistateCoextrusora,MULTISTATE_COEXTRUSORA_IHM,D,498,8249,%MW,,global
medidas,largura,LARGURA_IHM,D,528,8264,%MW,,global
producao,prodEstimada,PROD_ESTIMADA_IHM,D,532,8266,%MW,,global
producao,prodCum,PROD_CUM_IHM,D,534,8267,%MW,,global
material,outrosVal,OUTROS_VAL_IHM,D,536,8268,%MW,,global
pressao,fbkPressaoBomba,FBK_PRESSAO_BOMBA_IHM,D,924,8462,%MW,,global
setpoint,escritaSetPointPressao,ESCRITA_SET_POINT_PRESSAO_IHM,D,946,8473,%MW,,global
producao,prearrasteMpmAtual,PREARRASTE_MPM_ATUAL_IHM,D,956,8478,%MW,,global
corrente,correntePrearraste,CORRENTE_PREARRASTE_IHM,D,958,8479,%MW,,global
setpoint,setPointVelBomba,SET_POINT_VEL_BOMBA_IHM,D,1100,8550,%MW,,global
alarme_canal,alCanRuwRem,AL_CAN_RUW_REM,M,1012,48096,%MB,,global
alarme_canal,alCanRuwPan,AL_CAN_RUW_PAN,M,1011,48095,%MB,,global
setpoint,setPointVelCal2Marcha,SET_POINT_VEL_CAL2_MARCHA_IHM,D,1104,8552,%MW,,global
alarme_canal,alCanExtrusora,AL_CAN_EXTRUSORA,M,1010,48080,%MB,,global
velocidade,velFinalExtrusora,VEL_FINAL_EXTRUSORA_IHM,D,1124,8562,%MW,,global
velocidade,velFinalBomba,VEL_FINAL_BOMBA_IHM,D,1126,8563,%MW,,global
alarme_canal,alCanCoextrusora,AL_CAN_COEXTRUSORA,M,1010,48081,%MB,,global
velocidade,velCal1Mpm,VEL_CAL1_MPM_IHM,D,1130,8565,%MW,,global
velocidade,velCal2Mpm,VEL_CAL2_MPM_IHM,D,1132,8566,%MW,,global
velocidade,velCal3Mpm,VEL_CAL3_MPM_IHM,D,1134,8567,%MW,,global
alarme_canal,alCanCalandra1,AL_CAN_CALANDRA1,M,1010,48084,%MB,,global
velocidade,velPuxadorMpm,VEL_PUXADOR_MPM_IHM,D,1136,8568,%MW,,global
corrente,correnteExtrusora,CORRENTE_EXTRUSORA_IHM,D,1142,8571,%MW,,global
corrente,correnteCal1,CORRENTE_CAL1_IHM,D,1144,8572,%MW,,global
alarme_canal,alCanCalandra3,AL_CAN_CALANDRA3,M,1010,48086,%MB,,global
corrente,correnteBomba,CORRENTE_BOMBA_IHM,D,1148,8574,%MW,,global
corrente,correnteCal2,CORRENTE_CAL2_IHM,D,1150,8575,%MW,,global
corrente,correnteCal3,CORRENTE_CAL3_IHM,D,1152,8576,%MW,,global
corrente,correntePuxador,CORRENTE_PUXADOR_IHM,D,1154,8577,%MW,,global
alarme_canal,alCanPuxador,AL_CAN_PUXADOR,M,1010,48087,%MB,,global
modo_operacao,extMan0Aut1,EXT_MAN0_AUT1_IHM,M,1005,48047,%MB,,global
ajuste_fino,ajusteFinoPrearraste,AJUSTE_FINO_PREARRASTE_IHM,D,1114,8557,%MW,,global
ajuste_fino,ajusteFinoPuxador,AJUSTE_FINO_PUXADOR_IHM,D,1112,8556,%MW,,global
ajuste_fino,ajusteFinoCal3,AJUSTE_FINO_CAL3_IHM,D,1110,8555,%MW,,global
ajuste_fino,ajusteFinoCal2,AJUSTE_FINO_CAL2_IHM,D,1116,8558,%MW,,global
ajuste_fino,ajusteFinoCal1,AJUSTE_FINO_CAL1_IHM,D,1106,8553,%MW,,global
comandos,ligaDeslMarcha,LIGA_DESL_MARCHA_IHM,M,1005,48046,%MB,,global
material,pp,PP_IHM,M,1001,48012,%MB,,global
material,ps,PS_IHM,M,1000,48005,%MB,,global
material,pet,PET_IHM,M,1001,48011,%MB,,global
material,pebd,PEBD_IHM,M,1001,48010,%MB,,global
material,pvc,PVC_IHM,M,1001,48013,%MB,,global
reset,resetCumProd,RESET_CUM_PROD_IHM,M,1001,48014,%MB,,global
modo_operacao,coexMan0Aut1,COEX_MAN0_AUT1_IHM,M,1006,48048,%MB,,global
comandos,ligaDeslCoExt1,LIGA_DESL_CO_EXT1_IHM,M,1006,48049,%MB,,global
velocidade,velocidadeCoExt1,VELOCIDADE_CO_EXT1_IHM,D,1138,8569,%MW,,global
corrente,correnteCoExt1,CORRENTE_CO_EXT1_IHM,D,1156,8578,%MW,,global
pressao,fbkPressaoCoextr,FBK_PRESSAO_COEXTR_IHM,D,960,8480,%MW,,global
alerta_troca_tela,alertaTrocaTelaCoex,ALERTA_TROCA_TELA_COEX_IHM,M,1006,48051,%MB,,global
alarme_canal,alCanCalandra2,AL_CAN_CALANDRA_2,M,1010,48085,%MB,,global
alerta_troca_tela,alertaTrocaTelaExt,ALERTA_TROCA_TELA_EXT_IHM,M,1006,48050,%MB,,global
alarmes,alarmesWord11,ALARMES_WORD11_IHM,D,30,8015,%MW,,global
alarmes,alarmesWord12,ALARMES_WORD12_IHM,D,32,8016,%MW,,global
bobinador,velBobinador1RpmAtual,VEL_BOBINADOR1_RPM_ATUAL_IHM,D,964,8482,%MW,,global
