key,ObjecTag,Identifiers,Tipo,Delta Adress,Modbus,At,comentarios,Classe
entrada_digital_base,di1,DI1,M,,16000,%MB,Entrada digital 1,io_fisica
entrada_digital_base,di2,DI2,M,,16001,%MB,Entrada digital 2,io_fisica
entrada_digital_base,di3,DI3,M,,16002,%MB,Entrada digital 3,io_fisica
entrada_digital_base,di4,DI4,M,,16003,%MB,Entrada digital 4,io_fisica
entrada_digital_base,di5,DI5,M,,16004,%MB,Entrada digital 5,io_fisica
entrada_digital_base,di6,DI6,M,,16005,%MB,Entrada digital 6,io_fisica
entrada_digital_base,di7,DI7,M,,16006,%MB,Entrada digital 7,io_fisica
entrada_digital_base,di8,DI8,M,,16007,%MB,Entrada digital 8,io_fisica
entrada_digital_base,di9,DI9,M,,16008,%MB,Entrada digital 9,io_fisica
entrada_digital_base,di10,DI10,M,,16009,%MB,Entrada digital 10,io_fisica
entrada_digital_slot1,di101,DI101,M,,16016,%MB,Entrada digital 1 - Slot 1,io_fisica
entrada_digital_slot1,di102,DI102,M,,16017,%MB,Entrada digital 2 - Slot 1,io_fisica
entrada_digital_slot1,di103,DI103,M,,16018,%MB,Entrada digital 3 - Slot 1,io_fisica
entrada_digital_slot1,di104,DI104,M,,16019,%MB,Entrada digital 4 - Slot 1,io_fisica
entrada_digital_slot1,di105,DI105,M,,16020,%MB,Entrada digital 5 - Slot 1,io_fisica
entrada_digital_slot1,di106,DI106,M,,16021,%MB,Entrada digital 6 - Slot 1,io_fisica
entrada_digital_slot1,di107,DI107,M,,16022,%MB,Entrada digital 7 - Slot 1,io_fisica
entrada_digital_slot1,di108,DI108,M,,16023,%MB,Entrada digital 8 - Slot 1,io_fisica
entrada_digital_slot1,di109,DI109,M,,16024,%MB,Entrada digital 9 - Slot 1,io_fisica
entrada_digital_slot1,di110,DI110,M,,16025,%MB,Entrada digital 10 - Slot 1,io_fisica
entrada_digital_slot1,di111,DI111,M,,16026,%MB,Entrada digital 11 - Slot 1,io_fisica
entrada_digital_slot1,di112,DI112,M,,16027,%MB,Entrada digital 12 - Slot 1,io_fisica
entrada_digital_slot1,di113,DI113,M,,16028,%MB,Entrada digital 13 - Slot 1,io_fisica
entrada_digital_slot1,di114,DI114,M,,16029,%MB,Entrada digital 14 - Slot 1,io_fisica
entrada_digital_slot1,di115,DI115,M,,16030,%MB,Entrada digital 15 - Slot 1,io_fisica
entrada_digital_slot1,di116,DI116,M,,16031,%MB,Entrada digital 16 - Slot 1,io_fisica
entrada_digital_slot2,di201,DI201,M,,16032,%MB,Entrada digital 1 - Slot 2,io_fisica
entrada_digital_slot2,di202,DI202,M,,16033,%MB,Entrada digital 2 - Slot 2,io_fisica
entrada_digital_slot2,di203,DI203,M,,16034,%MB,Entrada digital 3 - Slot 2,io_fisica
entrada_digital_slot2,di204,DI204,M,,16035,%MB,Entrada digital 4 - Slot 2,io_fisica
entrada_digital_slot2,di205,DI205,M,,16036,%MB,Entrada digital 5 - Slot 2,io_fisica
entrada_digital_slot2,di206,DI206,M,,16037,%MB,Entrada digital 6 - Slot 2,io_fisica
entrada_digital_slot2,di207,DI207,M,,16038,%MB,Entrada digital 7 - Slot 2,io_fisica
entrada_digital_slot2,di208,DI208,M,,16039,%MB,Entrada digital 8 - Slot 2,io_fisica
entrada_digital_slot2,di209,DI209,M,,16040,%MB,Entrada digital 9 - Slot 2,io_fisica
entrada_digital_slot2,di210,DI210,M,,16041,%MB,Entrada digital 10 - Slot 2,io_fisica
entrada_digital_slot2,di211,DI211,M,,16042,%MB,Entrada digital 11 - Slot 2,io_fisica
entrada_digital_slot2,di212,DI212,M,,16043,%MB,Entrada digital 12 - Slot 2,io_fisica
entrada_digital_slot2,di213,DI213,M,,16044,%MB,Entrada digital 13 - Slot 2,io_fisica
entrada_digital_slot2,di214,DI214,M,,16045,%MB,Entrada digital 14 - Slot 2,io_fisica
entrada_digital_slot2,di215,DI215,M,,16046,%MB,Entrada digital 15 - Slot 2,io_fisica
entrada_digital_slot2,di216,DI216,M,,16047,%MB,Entrada digital 16 - Slot 2,io_fisica
entrada_analogica_base,ai1,AI1,D,,5003,%MW,Entrada analógica 1,io_fisica
entrada_analogica_slot1,ai101,AI101,D,,5004,%MW,Entrada analógica 1 _ Slot 1,io_fisica
entrada_analogica_slot1,ai102,AI102,D,,5005,%MW,Entrada analógica 2 _ Slot 1,io_fisica
entrada_analogica_slot1,ai103,AI103,D,,5006,%MW,Entrada analógica 3 _ Slot 1,io_fisica
entrada_analogica_slot1,ai104,AI104,D,,5007,%MW,Entrada analógica 4 _ Slot 1,io_fisica
