key,ObjecTag,Identifiers,Tipo,Delta Adress,Modbus,At,comentarios,Classe
corte,tempoCorte,TEMPO_CORTE_IHM,D,40030,28015,%MW,,retentiva
corte,comprCorte,COMPR_CORTE_IHM,D,40032,28016,%MW,,retentiva
ajuste,fatorAjusteCal1,FATOR_AJUSTE_CAL1_IHM,D,40000,28000,%MW,,retentiva
ajuste,fatorAjusteCal3,FATOR_AJUSTE_CAL3_IHM,D,40004,28002,%MW,,retentiva
ajuste,fatorAjustePuxador,FATOR_AJUSTE_PUXADOR_IHM,D,40006,28003,%MW,,retentiva
ajuste,fatorAjustePrearraste,FATOR_AJUSTE_PREARRASTE_IHM,D,40008,28004,%MW,,retentiva
rampa_calandra_puxador,ajusteRampaAcelCalPux,AJUSTE_RAMPA_ACEL_CAL_PUX_IHM,D,40046,28023,%MW,,retentiva
rampa_calandra_puxador,ajusteRampaDesacelCalPux,AJUSTE_RAMPA_DESACEL_CAL_PUX_IHM,D,40048,28024,%MW,,retentiva
ajuste,fatorAjusteCal2,FATOR_AJUSTE_CAL2_IHM,D,40002,28001,%MW,,retentiva
rampa_extrusora,rampaAceleraExt,RAMPA_ACELERA_EXT_IHM,D,40016,28008,%MW,,retentiva
rampa_extrusora,rampaDesaceleraExt,RAMPA_DESACELERA_EXT_IHM,D,40018,28009,%MW,,retentiva
pid_extrusora,ganhoDExt,GANHO_D_EXT_IHM,D,40014,28007,%MW,,retentiva
pid_extrusora,ganhoIExt,GANHO_I_EXT_IHM,D,40012,28006,%MW,,retentiva
pid_extrusora,ganhoPExt,GANHO_P_EXT_IHM,D,40010,28005,%MW,,retentiva
rampa_prearraste,rampaAceleraPrearraste,RAMPA_ACELERA_PREARRASTE_IHM,D,40036,28018,%MW,,retentiva
rampa_prearraste,rampaDesaceleraPrearraste,RAMPA_DESACELERA_PREARRASTE_IHM,D,40038,28019,%MW,,retentiva
rampa_prearraste,ajusteFinoComprPrearraste,AJUSTE_FINO_COMPR_PREARRASTE_IHM,D,40034,28017,%MW,,retentiva
rampa_bomba,rampaAceleraBomba,RAMPA_ACELERA_BOMBA_IHM,D,40040,28020,%MW,,retentiva
rampa_bomba,rampaDesaceleraBomba,RAMPA_DESACELERA_BOMBA_IHM,D,40042,28021,%MW,,retentiva
alarme_pressao_coextrusora,almPressHCoex,ALM_PRESS_H_COEX_IHM,D,40054,28027,%MW,,retentiva
alarme_pressao_coextrusora,almPressHhCoex,ALM_PRESS_HH_COEX_IHM,D,40056,28028,%MW,,retentiva
rampa_coextrusora,rampaAceleraCoExt1,RAMPA_ACELERA_CO_EXT1_IHM,D,40042,28021,%MW,,retentiva
rampa_coextrusora,rampaDesaceleraCoExt1,RAMPA_DESACELERA_CO_EXT1_IHM,D,40044,28022,%MW,,retentiva
alarme_pressao_bomba,almPressHBomba,ALM_PRESS_H_BOMBA_IHM,D,40050,28025,%MW,,retentiva
alarme_pressao_bomba,almPressHhBomba,ALM_PRESS_HH_BOMBA_IHM,D,40052,28026,%MW,,retentiva
producao_prearraste,spProdPrearraste,SP_PROD_PREARRASTE_IHM,D,40058,28029,%MW,,retentiva
producao_prearraste,acumProdPrearraste,ACUM_PROD_PREARRASTE_IHM,D,40060,28030,%MW,,retentiva
producao_prearraste,spContametroPrearraste,SP_CONTAMETRO_PREARRASTE_IHM,D,40062,28031,%MW,,retentiva
producao_prearraste,acumContametroPrearraste,ACUM_CONTAMETRO_PREARRASTE_IHM,D,40064,28032,%MW,,retentiva
