key,ObjecTag,Identifiers,Tipo,Delta Adress,Modbus,At,comentarios,Classe
temperatura,tempZona1,24z_read_0,D,,1536,%MW,Temperatura Zona 1,temperatura
setpoint,setpointZona1,24z_write_0,D,,1792,%MW,Setpoint Zona 1,temperatura
temperatura,tempZona2,24z_read_1,D,,1537,%MW,Temperatura Zona 2,temperatura
setpoint,setpointZona2,24z_write_1,D,,1793,%MW,Setpoint Zona 2,temperatura
temperatura,tempZona3,24z_read_2,D,,1538,%MW,Temperatura Zona 3,temperatura
setpoint,setpointZona3,24z_write_2,D,,1794,%MW,Setpoint Zona 3,temperatura
temperatura,tempZona4,24z_read_3,D,,1539,%MW,Temperatura Zona 4,temperatura
setpoint,setpointZona4,24z_write_3,D,,1795,%MW,Setpoint Zona 4,temperatura
temperatura,tempZona5,24z_read_4,D,,1540,%MW,Temperatura Zona 5,temperatura
setpoint,setpointZona5,24z_write_4,D,,1796,%MW,Setpoint Zona 5,temperatura
temperatura,tempZona6,24z_read_5,D,,1541,%MW,Temperatura Zona 6,temperatura
setpoint,setpointZona6,24z_write_5,D,,1797,%MW,Setpoint Zona 6,temperatura
temperatura,tempZona7,24z_read_6,D,,1542,%MW,Temperatura Zona 7,temperatura
setpoint,setpointZona7,24z_write_6,D,,1798,%MW,Setpoint Zona 7,temperatura
temperatura,tempZona8,24z_read_7,D,,1543,%MW,Temperatura Zona 8,temperatura
setpoint,setpointZona8,24z_write_7,D,,1799,%MW,Setpoint Zona 8,temperatura
temperatura,tempZona9,24z_read_8,D,,1544,%MW,Temperatura Zona 9,temperatura
setpoint,setpointZona9,24z_write_8,D,,1800,%MW,Setpoint Zona 9,temperatura
temperatura,tempZona10,24z_read_9,D,,1545,%MW,Temperatura Zona 10,temperatura
setpoint,setpointZona10,24z_write_9,D,,1801,%MW,Setpoint Zona 10,temperatura
temperatura,tempZona11,24z_read_10,D,,1546,%MW,Temperatura Zona 11,temperatura
setpoint,setpointZona11,24z_write_10,D,,1802,%MW,Setpoint Zona 11,temperatura
temperatura,tempZona12,24z_read_11,D,,1547,%MW,Temperatura Zona 12,temperatura
setpoint,setpointZona12,24z_write_11,D,,1803,%MW,Setpoint Zona 12,temperatura
temperatura,tempZona13,24z_read_12,D,,1548,%MW,Temperatura Zona 13,temperatura
setpoint,setpointZona13,24z_write_12,D,,1804,%MW,Setpoint Zona 13,temperatura
temperatura,tempZona14,24z_read_13,D,,1549,%MW,Temperatura Zona 14,temperatura
setpoint,setpointZona14,24z_write_13,D,,1805,%MW,Setpoint Zona 14,temperatura
