key,ObjecTag,Identifiers,Tipo,Delta Adress,Modbus,At,comentarios,,,
Extrusora,extrusoraErro,ERRO,M,108,2156,%MB,,,,
Extrusora,extrusoraAutManEstado,MAN_AUT,M,121,2169,%MB,Retorno para botões,,,
Extrusora,extrusoraLigadoDesligado,LIGADO,M,123,2171,%MB,,,,
Extrusora,extrusoraAutManBotao,BOT_MAN_AUT,M,124,2172,%MB,,,,
Extrusora,extrusoraLigaDesligaBotao,BT_LIGA,M,125,2173,%MB,,,,
Extrusora,extrusoraFeedBackSpeed,VLCD_REAL_EXTRUSORA,D,7042,39810,%MW,,,,
Extrusora,extrusoraRefVelocidade,IHM_VEL_EXTR,D,7355,40123,%MW,,,,

Puxador,puxadorLigaDesliga,BT_LIGA,M,102,2150,%MB,,,,
Puxador,puxadorLigadoDesligado,LIGADO,M,103,2151,%MB,,,,
Puxador,puxadorAutManBotao,BOT_MAN_AUT,M,104,2152,%MB,,,,
Puxador,puxadorAutManEstado,MAN_AUT,M,105,2153,%MB,,,,
Puxador,puxadorErro,ERRO,M,109,2157,%MB,,,,
Puxador,puxadorFeedBackSpeed,METRO_POR_MINUTO_PUXADOR,D,7023,39791,%MW,DWORD,,,
Puxador,puxadorRefVelocidade,IHM_VEL_PUXADOR,D,7235,40003,%MW,DWORD,,,

producao,larguraProgramada,LARGURA_DO_FILME_IHM,D,411,4507,%MW,,,,
producao,espessuraProgramado,ESPESSURA_IHM,D,446,4542,%MW,,,,
producao,larguraAtual,LARGURA_FILME,D,7004,39772,%MW, Peso e nivel são as mesmas variáveis,,,
producao,kgHoraAtual,KG_HORA,D,7013,39781,%MW,WORD,,,
producao,kgHoraProgramado,KG_HORA_PROGRAMADO,D,7032,39800,%MW,TESTE,,,
producao,gramaturaProgramada,GRAMATURA_PROGRAMADA,D,7044,39812,%MW,,,,
producao,gramaturaAtual,GRAMATURA_ATUAL,D,7046,39814,%MW,,,,
producao,espessuraAtual,ESPESSURA_ATUAL,D,7047,39815,%MW,,,,
producao,puxadorProgramado,MPM,D,7302,40070,%MW,,,,

threeJs,capacitivoA,CAPACITIVO_A,M,3,2051,%MB,,,,
threeJs,capacitivoB,CAPACITIVO_B,M,4,2052,%MB,,,,
threeJs,capacitivoC,CAPACITIVO_C,M,5,2053,%MB,,,,
threeJs,capacitivoD,CAPACITIVO_D,M,6,2054,%MB,,,,
threeJs,alimentandoMixer,BALANCA,M,24,2072,%MB,,,,
threeJs,vacuoA,VACUO1,M,48,2096,%MB,,,,
threeJs,vacuoB,VACUO2,M,49,2097,%MB,,,,
threeJs,vacuoC,VACUO3,M,54,2102,%MB,,,,
threeJs,vacuoD,VACUO4,M,55,2103,%MB,,,,
threeJs,dosandoBalanca,DOSANDO_NA_BALANCA,M,194,2242,%MB,,,,
threeJs,faltaMaterialA,ALRM_A,M,338,2386,%MB,,,,
threeJs,faltaMaterialB,ALRM_B,M,339,2387,%MB,,,,
threeJs,faltaMaterialC,ALRM_C,M,340,2388,%MB,,,,
threeJs,faltaMaterialD,ALRM_D,M,341,2389,%MB,,,,
threeJs,alimentandoA,RECARGA_A,M,360,2408,%MB,,,,
threeJs,alimentandoB,RECARGA_B,M,361,2409,%MB,,,,
threeJs,alimentandoC,RECARGA_C,M,362,2410,%MB,,,,
threeJs,alimentandoD,RECARGA_D,M,363,2411,%MB,,,,
threeJs,percentualA,MATERIAL_A_IHM,D,449,4545,%MW,,,,
threeJs,percentualB,MATERIAL_B_IHM,D,450,4546,%MW,,,,
threeJs,percentualC,MATERIAL_C_IHM,D,451,4547,%MW,,,,
threeJs,percentualD,MATERIAL_D_IHM,D,452,4548,%MW,,,,
threeJs,pesoMixer,BALANÇA_INFERIOR,D,7006,39774,%MW, Peso e nivel são as mesmas variáveis,,,DWORD
threeJs,pesoBalanca,BALANÇA_SUPERIOR,D,7007,39794,%MW,,,,
threeJs,nivelA,NIVEL_A,D,7605,40373,%MW,,,,
threeJs,nivelB,NIVEL_B,D,7606,40374,%MW,,,,
threeJs,nivelC,NIVEL_C,D,7607,40375,%MW,,,,
threeJs,nivelD,NIVEL_D,D,7608,40376,%MW,,,,

dosador,habilitaDosagem,HABILITA_DOSAGEM,M,58,2106,%MB,,,,

totalizadores,totalizadorMetragem,ACUMULADOR_METROS,D,7160,39928,%MW,,,,
totalizadores,totalizadorKiloGrama,TOTALIZADOR_KG,D,7024,39792,%MW,,,,
totalizadores,ligaDesligaTotalizadorPeso,,M,34,2082,%MB,,,,
totalizadores,resetTotalizador,,M,35,2083,%MB,,,,

saidasDigitais,compressorRadial,COMPRESSOR_RADIAL,M,29,2077,%MB,,,,
saidasDigitais,vacuo,VACUO,M,31,2079,%MB,,,,
saidasDigitais,misturador,MISTURADOR,M,23,2071,%MB,,,,
saidasDigitais,erroCompressor,ERRO_COMPRESSOR,M,134,2182,%MB,,,,
saidasDigitais,erroMisturador,ERRO_MISTURADOR,M,133,2181,%MB,,,,


